iter	RMSE
0	3.179390807
1	3.176949321
2	3.174058716
3	3.171098922
4	3.167541988
5	3.164283775
6	3.16190737
7	3.159314722
8	3.156482891
9	3.153732656
10	3.151371033
11	3.148901083
12	3.146642314
13	3.143938703
14	3.141877382
15	3.139794955
16	3.136958189
17	3.134566945
18	3.132417315
19	3.130075742
20	3.127462471
21	3.124785594
22	3.122410427
23	3.119478348
24	3.117174033
25	3.114882006
26	3.112857553
27	3.110455539
28	3.10797847
29	3.105420052
30	3.103184707
31	3.101464858
32	3.099782329
33	3.097485816
34	3.09478698
35	3.092635897
36	3.090209527
37	3.087302751
38	3.084983809
39	3.082568031
40	3.080110799
41	3.078012098
42	3.075696045
43	3.073259203
44	3.071303112
45	3.069119654
46	3.066922984
47	3.064741139
48	3.062448671
49	3.060024725
50	3.058009677
51	3.056003002
52	3.053765032
53	3.051703457
54	3.049743806
55	3.048055673
56	3.045711225
57	3.043686899
58	3.041700779
59	3.039107681
60	3.036808598
61	3.034534847
62	3.031947936
63	3.029892523
64	3.027806829
65	3.02533903
66	3.023098784
67	3.021316911
68	3.019428551
69	3.017000684
70	3.014419047
71	3.012335401
72	3.010657858
73	3.008584367
74	3.006540443
75	3.004901365
76	3.002824896
77	3.000666332
78	2.998319291
79	2.996402278
80	2.994258811
81	2.991565003
82	2.98974068
83	2.98759225
84	2.985441145
85	2.983512245
86	2.981657902
87	2.97958725
88	2.97775104
89	2.975588119
90	2.974245698
91	2.972671157
92	2.970824225
93	2.969305922
94	2.96713258
95	2.965459587
96	2.963482069
97	2.961973462
98	2.960150098
99	2.958379131
100	2.956688085
101	2.955035304
102	2.953221014
103	2.951641799
104	2.949401249
105	2.947892175
106	2.945946297
107	2.94423961
108	2.942546717
109	2.941002383
110	2.939131515
111	2.937320183
112	2.935352262
113	2.933940299
114	2.932384335
115	2.930831498
116	2.929315222
117	2.927732848
118	2.926248526
119	2.924448352
120	2.922885898
121	2.920970662
122	2.919559298
123	2.918033226
124	2.916466397
125	2.914874624
126	2.913330834
127	2.911850651
128	2.910599028
129	2.909116166
130	2.907706008
131	2.906089682
132	2.904708087
133	2.90325687
134	2.901128631
135	2.899462729
136	2.898089111
137	2.896679199
138	2.894759413
139	2.893322819
140	2.891692474
141	2.889965114
142	2.888575202
143	2.886693706
144	2.885049199
145	2.88368204
146	2.881741457
147	2.880299418
148	2.879027429
149	2.877630487
150	2.875760955
151	2.87428451
152	2.872694832
153	2.870910164
154	2.869045071
155	2.867531952
156	2.865895365
157	2.864269728
158	2.862752395
159	2.861356366
160	2.859446819
161	2.858114991
162	2.856829821
163	2.85559531
164	2.854057472
165	2.852539251
166	2.850892762
167	2.849551503
168	2.848091961
169	2.8466344
170	2.845538936
171	2.844058685
172	2.84268667
173	2.841438316
174	2.839759008
175	2.838330675
176	2.836620413
177	2.834894113
178	2.833413844
179	2.832217648
180	2.830624415
181	2.829549383
182	2.828374884
183	2.827087574
184	2.82560237
185	2.82402609
186	2.82287324
187	2.821220154
188	2.819998725
189	2.818592605
190	2.817460273
191	2.815985279
192	2.814790898
193	2.813692952
194	2.812399082
195	2.811184606
196	2.810228875
197	2.80904275
198	2.807395259
199	2.806209184
200	2.804428496
201	2.803336167
202	2.801949031
203	2.800907578
204	2.799295914
205	2.798378652
206	2.797060963
207	2.795619589
208	2.794418159
209	2.79302007
210	2.791846612
211	2.790531051
212	2.789168232
213	2.787781805
214	2.786812719
215	2.786068207
216	2.784996757
217	2.783540508
218	2.782449963
219	2.78132515
220	2.780542395
221	2.779711705
222	2.778593507
223	2.777557601
224	2.776286639
225	2.775214893
226	2.774078438
227	2.772950953
228	2.772083287
229	2.77051149
230	2.769686448
231	2.76887412
232	2.767689052
233	2.766463837
234	2.765244094
235	2.763886429
236	2.762972874
237	2.761449358
238	2.760728648
239	2.759445434
240	2.758322485
241	2.757126909
242	2.756014033
243	2.754659485
244	2.753213204
245	2.752119114
246	2.750836974
247	2.749665004
248	2.748663985
249	2.747449424
250	2.746408522
251	2.745189627
252	2.744235473
253	2.742721918
254	2.742082175
255	2.740460406
256	2.739397676
257	2.738188941
258	2.737005368
259	2.735906232
260	2.73469484
261	2.733769105
262	2.732779848
263	2.731953074
264	2.731040263
265	2.729611195
266	2.728540625
267	2.727242292
268	2.72619942
269	2.724994386
270	2.7239958
271	2.722895197
272	2.721697541
273	2.720724535
274	2.719586855
275	2.71874498
276	2.718050092
277	2.717375114
278	2.716384296
279	2.71557637
280	2.714682906
281	2.713657822
282	2.712795156
283	2.712119741
284	2.710911099
285	2.709781345
286	2.708932459
287	2.707960644
288	2.707183034
289	2.706084284
290	2.705228548
291	2.704009411
292	2.703112475
293	2.70223834
294	2.701018738
295	2.700170804
296	2.698813619
297	2.697866427
298	2.696985155
299	2.69589961
300	2.695034906
301	2.693920367
302	2.693103589
303	2.692331495
304	2.690797897
305	2.689960343
306	2.689077741
307	2.687716792
308	2.686468027
309	2.685031929
310	2.684219158
311	2.683311652
312	2.682596424
313	2.681502116
314	2.680858334
315	2.680154757
316	2.679378536
317	2.678347889
318	2.677624083
319	2.676762901
320	2.67611436
321	2.675109393
322	2.674010975
323	2.673162746
324	2.672216555
325	2.671189005
326	2.670354834
327	2.669692562
328	2.668830054
329	2.667857361
330	2.666431986
331	2.665629568
332	2.664783524
333	2.66382337
334	2.662957593
335	2.66222034
336	2.661342469
337	2.660208648
338	2.659523992
339	2.65865767
340	2.657932757
341	2.657238098
342	2.656212569
343	2.655182748
344	2.653979529
345	2.653133644
346	2.652535005
347	2.651729285
348	2.650767599
349	2.650050626
350	2.648822605
351	2.647801769
352	2.647027093
353	2.646182971
354	2.645480517
355	2.644657027
356	2.643977171
357	2.642917706
358	2.642063719
359	2.641416369
360	2.64062013
361	2.640049161
362	2.639014499
363	2.638057478
364	2.637138729
365	2.636364282
366	2.635306507
367	2.634548459
368	2.63375144
369	2.632801402
370	2.632004027
371	2.631429898
372	2.630750775
373	2.630134148
374	2.629493526
375	2.628084378
376	2.627425759
377	2.62675812
378	2.626005647
379	2.62521649
380	2.624396122
381	2.623877972
382	2.623050712
383	2.621745131
384	2.620991368
385	2.61999442
386	2.619202216
387	2.618381358
388	2.617566874
389	2.61651222
390	2.615843747
391	2.615192028
392	2.614275397
393	2.613665783
394	2.612889896
395	2.612153531
396	2.611297706
397	2.610534293
398	2.609763216
399	2.609211545
400	2.608704676
401	2.60793926
402	2.607143522
403	2.606660437
404	2.605793342
405	2.604693601
406	2.604046841
407	2.603088209
408	2.602096449
409	2.601307258
410	2.60047269
411	2.599711727
412	2.598897626
413	2.598167295
414	2.597304183
415	2.596374818
416	2.596026346
417	2.595241196
418	2.594669765
419	2.59411471
420	2.593377947
421	2.59264052
422	2.591636672
423	2.590883264
424	2.589861982
425	2.589214565
426	2.588739006
427	2.58810893
428	2.587563014
429	2.58663473
430	2.585859013
431	2.585460765
432	2.584844031
433	2.584212027
434	2.583320858
435	2.582678238
436	2.582015156
437	2.58139961
438	2.58063004
439	2.580052763
440	2.579450543
441	2.578698076
442	2.577990457
443	2.577631934
444	2.576713648
445	2.575836917
446	2.575290117
447	2.574591868
448	2.57411862
449	2.573433084
450	2.573015935
451	2.572429259
452	2.571498228
453	2.571006488
454	2.570397939
455	2.569407255
456	2.568992106
457	2.568648877
458	2.567875601
459	2.567228589
460	2.566690654
461	2.566120812
462	2.565370213
463	2.564862424
464	2.564005252
465	2.563477106
466	2.562896052
467	2.562010056
468	2.561319924
469	2.560612498
470	2.560059801
471	2.559145195
