iter	Passed	Remaining
0	2	3271
1	4	3281
2	6	3276
3	8	3308
4	10	3287
5	13	3297
6	15	3264
7	17	3240
8	19	3237
9	21	3254
10	23	3244
11	26	3234
12	28	3222
13	30	3227
14	32	3249
15	35	3261
16	37	3260
17	39	3270
18	41	3268
19	44	3274
20	46	3276
21	48	3272
22	50	3267
23	52	3211
24	54	3208
25	56	3207
26	58	3203
27	60	3173
28	61	3125
29	63	3132
30	66	3135
31	68	3131
32	70	3138
33	72	3145
34	75	3147
35	77	3149
36	79	3149
37	81	3126
38	83	3126
39	85	3128
40	87	3127
41	90	3128
42	92	3125
43	93	3108
44	96	3104
45	98	3102
46	100	3101
47	102	3098
48	104	3099
49	106	3099
50	109	3097
51	111	3093
52	113	3094
53	115	3094
54	117	3096
55	119	3091
56	121	3087
57	124	3085
58	126	3085
59	128	3084
60	129	3062
61	132	3064
62	134	3063
63	136	3063
64	138	3062
65	140	3048
66	142	3050
67	144	3048
68	147	3050
69	149	3050
70	151	3048
71	153	3047
72	155	3045
73	158	3045
74	159	3026
75	161	3023
76	163	3022
77	164	3003
78	166	3002
79	167	2980
80	170	2978
81	172	2977
82	173	2969
83	176	2967
84	178	2967
85	180	2965
86	182	2964
87	184	2967
88	187	2968
89	189	2971
90	191	2969
91	193	2966
92	196	2965
93	198	2964
94	199	2944
95	201	2944
96	203	2943
97	205	2941
98	207	2940
99	209	2939
100	212	2937
101	213	2920
102	215	2920
103	216	2911
104	219	2911
105	221	2911
106	223	2910
107	225	2909
108	227	2909
109	230	2908
110	232	2906
111	234	2906
112	236	2906
113	239	2906
114	241	2904
115	243	2903
116	244	2889
117	245	2873
118	247	2873
119	248	2861
120	250	2849
121	250	2834
122	253	2833
123	254	2819
124	256	2818
125	257	2805
126	259	2805
127	261	2805
128	263	2804
129	266	2804
130	268	2804
131	270	2805
132	271	2795
133	274	2794
134	276	2794
135	278	2795
136	280	2794
137	283	2793
138	285	2792
139	285	2777
140	287	2775
141	290	2775
142	291	2769
143	293	2768
144	296	2767
145	298	2766
146	300	2766
147	302	2765
148	304	2763
149	306	2762
150	309	2761
151	311	2759
152	313	2759
153	315	2757
154	317	2755
155	318	2743
156	320	2741
157	322	2741
158	325	2741
159	327	2740
160	329	2739
161	331	2738
162	333	2737
163	335	2736
164	338	2735
165	340	2734
166	342	2733
167	344	2732
168	346	2727
169	348	2726
170	350	2725
171	352	2724
172	355	2724
173	357	2723
174	359	2722
175	361	2722
176	364	2720
177	366	2720
178	368	2718
179	370	2717
180	372	2715
181	373	2705
182	375	2703
183	377	2702
184	380	2701
185	382	2699
186	384	2698
187	386	2697
188	388	2696
189	390	2695
190	393	2693
191	395	2692
192	397	2691
193	398	2685
194	401	2685
195	403	2684
196	405	2683
197	407	2678
198	409	2676
199	411	2675
200	413	2673
201	415	2671
202	417	2670
203	420	2668
204	422	2667
205	424	2666
206	426	2665
207	428	2663
208	430	2658
209	432	2656
210	434	2655
211	436	2654
212	439	2652
