id,G3
0,14
1,13
2,14
3,13
4,11
5,14
6,14
7,8
8,13
9,12
10,14
11,12
12,14
13,12
14,11
15,15
16,13
17,12
18,14
19,13
20,12
21,11
22,14
23,13
24,13
25,12
26,9
27,14
28,13
29,12
30,13
31,14
32,9
33,6
34,11
35,13
36,14
37,13
38,12
39,11
40,13
41,14
42,13
43,14
44,13
45,12
46,13
47,13
48,14
49,12
50,11
51,13
52,11
53,10
54,13
55,14
56,11
57,11
58,9
59,9
60,6
61,13
62,14
63,14
64,12
65,13
66,10
67,8
68,7
69,10
70,13
71,13
72,12
73,12
74,13
75,11
76,13
77,13
78,13
79,11
80,8
81,13
82,13
83,11
84,12
85,14
86,13
87,14
88,13
89,13
90,14
91,9
92,13
93,15
94,10
95,13
96,14
97,12
98,13
99,11
100,13
101,13
102,11
103,10
104,11
105,11
106,12
107,13
108,10
109,11
110,14
111,14
112,13
113,11
114,9
115,12
116,11
117,14
118,10
119,11
120,14
121,14
122,12
123,12
124,11
125,12
126,13
127,11
128,14
129,12
130,13
131,13
132,14
133,11
134,10
135,9
136,7
137,9
138,12
139,12
140,13
141,13
142,13
143,13
144,13
145,14
146,14
147,13
148,13
149,11
150,14
151,13
152,11
153,13
154,12
155,12
156,13
157,14
158,12
159,11
160,9
161,14
162,12
163,14
164,11
165,13
166,12
167,13
168,8
169,13
170,13
171,12
172,12
173,13
174,9
175,13
176,13
177,13
178,9
179,13
180,14
181,13
182,13
183,13
184,13
185,13
186,13
187,9
188,12
189,12
190,12
191,7
192,10
193,11
194,13
