id,G3
0,13
1,13
2,13
3,13
4,11
5,13
6,14
7,8
8,13
9,12
10,13
11,12
12,13
13,12
14,12
15,15
16,13
17,11
18,13
19,13
20,12
21,12
22,14
23,12
24,13
25,12
26,9
27,14
28,13
29,12
30,13
31,13
32,9
33,8
34,11
35,13
36,12
37,13
38,12
39,10
40,13
41,14
42,14
43,14
44,13
45,12
46,13
47,13
48,13
49,12
50,11
51,13
52,11
53,10
54,14
55,14
56,11
57,12
58,9
59,10
60,7
61,13
62,13
63,14
64,12
65,13
66,10
67,8
68,8
69,11
70,13
71,13
72,12
73,12
74,13
75,11
76,13
77,13
78,13
79,11
80,9
81,13
82,13
83,11
84,13
85,12
86,13
87,12
88,13
89,13
90,14
91,9
92,11
93,14
94,10
95,13
96,13
97,12
98,13
99,11
100,11
101,13
102,12
103,10
104,11
105,11
106,12
107,13
108,10
109,11
110,14
111,13
112,13
113,12
114,10
115,12
116,11
117,14
118,10
119,11
120,14
121,13
122,12
123,12
124,12
125,12
126,13
127,11
128,14
129,13
130,13
131,13
132,13
133,12
134,10
135,10
136,8
137,10
138,12
139,12
140,13
141,11
142,13
143,12
144,13
145,14
146,13
147,13
148,13
149,11
150,14
151,14
152,12
153,13
154,12
155,13
156,13
157,14
158,12
159,12
160,9
161,14
162,12
163,13
164,11
165,13
166,12
167,12
168,10
169,13
170,13
171,13
172,12
173,13
174,9
175,13
176,13
177,13
178,9
179,13
180,14
181,13
182,13
183,13
184,13
185,13
186,13
187,9
188,12
189,13
190,12
191,8
192,10
193,11
194,13
